Time,MW
2010-01-01 00:00:00-08:00,20799.28
2010-01-01 01:00:00-08:00,19628.56
2010-01-01 02:00:00-08:00,19016.9
2010-01-01 03:00:00-08:00,18690.03
2010-01-01 04:00:00-08:00,18844.98
2010-01-01 05:00:00-08:00,19606.72
2010-01-01 06:00:00-08:00,20078.16
2010-01-01 07:00:00-08:00,20564.18
2010-01-01 08:00:00-08:00,21178.1
2010-01-01 09:00:00-08:00,21836.38
2010-01-01 10:00:00-08:00,22091.62
2010-01-01 11:00:00-08:00,22097.5
2010-01-01 12:00:00-08:00,21759.77
2010-01-01 13:00:00-08:00,21550.66
2010-01-01 14:00:00-08:00,21539.16
2010-01-01 15:00:00-08:00,21857.93
2010-01-01 16:00:00-08:00,23530.41
2010-01-01 17:00:00-08:00,26108.81
2010-01-01 18:00:00-08:00,26547.29
2010-01-01 19:00:00-08:00,26045.63
2010-01-01 20:00:00-08:00,25453.51
2010-01-01 21:00:00-08:00,23975.59
2010-01-01 22:00:00-08:00,22493.07
2010-01-01 23:00:00-08:00,20841.13
2010-01-02 00:00:00-08:00,20046.65
2010-01-02 01:00:00-08:00,18942.01
2010-01-02 02:00:00-08:00,18655.85
2010-01-02 03:00:00-08:00,18524.25
2010-01-02 04:00:00-08:00,18631.55
2010-01-02 05:00:00-08:00,19376.29
2010-01-02 06:00:00-08:00,20109.47
2010-01-02 07:00:00-08:00,20598.15
2010-01-02 08:00:00-08:00,21648.84
2010-01-02 09:00:00-08:00,22496.41
2010-01-02 10:00:00-08:00,22671.36
2010-01-02 11:00:00-08:00,22590.89
2010-01-02 12:00:00-08:00,22019.83
2010-01-02 13:00:00-08:00,21671.04
2010-01-02 14:00:00-08:00,21526.89
2010-01-02 15:00:00-08:00,21674.99
2010-01-02 16:00:00-08:00,23422.28
2010-01-02 17:00:00-08:00,26102.75
2010-01-02 18:00:00-08:00,26418.77
2010-01-02 19:00:00-08:00,25585.44
2010-01-02 20:00:00-08:00,25076.35
2010-01-02 21:00:00-08:00,23840.92
2010-01-02 22:00:00-08:00,22558.37
2010-01-02 23:00:00-08:00,21247.52
2010-01-03 00:00:00-08:00,19557.49
2010-01-03 01:00:00-08:00,18527.11
2010-01-03 02:00:00-08:00,18101.94
2010-01-03 03:00:00-08:00,17953.83
2010-01-03 04:00:00-08:00,18068.26
2010-01-03 05:00:00-08:00,18760.88
2010-01-03 06:00:00-08:00,19261.11
2010-01-03 07:00:00-08:00,19951.64
2010-01-03 08:00:00-08:00,20556.45
2010-01-03 09:00:00-08:00,21410.86
2010-01-03 10:00:00-08:00,21654.18
2010-01-03 11:00:00-08:00,21668.12
2010-01-03 12:00:00-08:00,21559.97
2010-01-03 13:00:00-08:00,20997.44
2010-01-03 14:00:00-08:00,21083.24
2010-01-03 15:00:00-08:00,21268.93
2010-01-03 16:00:00-08:00,22886.89
2010-01-03 17:00:00-08:00,25532.66
2010-01-03 18:00:00-08:00,26139.33
2010-01-03 19:00:00-08:00,25567.33
2010-01-03 20:00:00-08:00,25303.39
2010-01-03 21:00:00-08:00,23800.86
2010-01-03 22:00:00-08:00,22396.39
2010-01-03 23:00:00-08:00,20472.24
2010-01-04 00:00:00-08:00,19576.82
2010-01-04 01:00:00-08:00,18763.8
2010-01-04 02:00:00-08:00,18529.74
2010-01-04 03:00:00-08:00,18607.93
2010-01-04 04:00:00-08:00,19361.37
2010-01-04 05:00:00-08:00,21342.44
2010-01-04 06:00:00-08:00,24114.14
2010-01-04 07:00:00-08:00,25379.92
2010-01-04 08:00:00-08:00,25977.85
2010-01-04 09:00:00-08:00,26401.31
2010-01-04 10:00:00-08:00,26551.11
2010-01-04 11:00:00-08:00,26526.55
